gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,Total_Score,Average_Score,Pass/Fail,Performance_Category
male,group A,master's degree,free/reduced,Not Completed,73,74,72,219,73,Pass,Good
male,group B,some college,standard,Not Completed,69,54,55,178,59.33,Pass,Average
female,group C,bachelor's degree,standard,Not Completed,67,69,75,211,70.33,Pass,Good
male,group C,high school,standard,Not Completed,70,70,65,205,68.33,Pass,Good
female,group D,master's degree,standard,Not Completed,62,70,75,207,69,Pass,Good
female,group D,some college,standard,Not Completed,69,74,74,217,72.33,Pass,Good
female,group B,some college,standard,Not Completed,63,65,61,189,63,Pass,Good
female,group E,master's degree,free/reduced,Not Completed,56,72,65,193,64.33,Pass,Good
male,group D,some college,standard,Not Completed,40,42,38,120,40,Fail,Average
male,group E,some college,standard,Not Completed,97,87,82,266,88.67,Pass,Excellent
male,group E,associate's degree,standard,completed,81,81,79,241,80.33,Pass,Excellent
female,group D,associate's degree,standard,Not Completed,74,81,83,238,79.33,Pass,Good
female,group D,some high school,free/reduced,Not Completed,50,64,59,173,57.67,Pass,Average
female,group D,associate's degree,free/reduced,completed,75,90,88,253,84.33,Pass,Excellent
male,group B,associate's degree,free/reduced,Not Completed,57,56,57,170,56.67,Pass,Average
male,group C,associate's degree,free/reduced,Not Completed,55,61,54,170,56.67,Pass,Average
female,group C,associate's degree,standard,Not Completed,58,73,68,199,66.33,Pass,Good
female,group B,associate's degree,standard,Not Completed,53,58,65,176,58.67,Pass,Average
male,group B,some college,free/reduced,completed,59,65,66,190,63.33,Pass,Good
female,group E,associate's degree,free/reduced,Not Completed,50,56,54,160,53.33,Pass,Average
male,group B,associate's degree,standard,Not Completed,65,54,57,176,58.67,Pass,Average
female,group A,associate's degree,standard,completed,55,65,62,182,60.67,Pass,Good
female,group C,high school,standard,Not Completed,66,71,76,213,71,Pass,Good
female,group D,associate's degree,free/reduced,completed,57,74,76,207,69,Pass,Good
male,group C,high school,standard,completed,82,84,82,248,82.67,Pass,Excellent
male,group E,some college,standard,Not Completed,53,55,48,156,52,Pass,Average
male,group E,associate's degree,free/reduced,completed,77,69,68,214,71.33,Pass,Good
male,group C,some college,standard,Not Completed,53,44,42,139,46.33,Pass,Average
male,group D,high school,standard,Not Completed,88,78,75,241,80.33,Pass,Excellent
female,group C,some high school,free/reduced,completed,71,84,87,242,80.67,Pass,Excellent
female,group C,high school,free/reduced,Not Completed,33,41,43,117,39,Fail,Needs Improvement
female,group E,associate's degree,standard,completed,82,85,86,253,84.33,Pass,Excellent
male,group D,associate's degree,standard,Not Completed,52,55,49,156,52,Pass,Average
male,group D,some college,standard,completed,58,59,58,175,58.33,Pass,Average
female,group C,some high school,free/reduced,Not Completed,0,17,10,27,9,Fail,Needs Improvement
male,group E,bachelor's degree,free/reduced,completed,79,74,72,225,75,Pass,Good
male,group A,some high school,free/reduced,Not Completed,39,39,34,112,37.33,Fail,Needs Improvement
male,group A,associate's degree,free/reduced,Not Completed,62,61,55,178,59.33,Pass,Average
female,group C,associate's degree,standard,Not Completed,69,80,71,220,73.33,Pass,Good
female,group D,some high school,standard,Not Completed,59,58,59,176,58.67,Pass,Average
male,group B,some high school,standard,Not Completed,67,64,61,192,64,Pass,Good
male,group D,some high school,free/reduced,Not Completed,45,37,37,119,39.67,Fail,Needs Improvement
female,group C,some college,standard,Not Completed,60,72,74,206,68.67,Pass,Good
male,group B,associate's degree,free/reduced,Not Completed,61,58,56,175,58.33,Pass,Average
female,group C,associate's degree,standard,Not Completed,39,64,57,160,53.33,Fail,Average
female,group D,some college,free/reduced,completed,58,63,73,194,64.67,Pass,Good
male,group D,some college,standard,completed,63,55,63,181,60.33,Pass,Good
female,group A,associate's degree,free/reduced,Not Completed,41,51,48,140,46.67,Pass,Average
male,group C,some high school,free/reduced,Not Completed,61,57,56,174,58,Pass,Average
male,group C,some high school,standard,Not Completed,49,49,41,139,46.33,Pass,Average
male,group B,associate's degree,free/reduced,Not Completed,44,41,38,123,41,Fail,Average
male,group E,some high school,standard,Not Completed,30,26,22,78,26,Fail,Needs Improvement
male,group A,bachelor's degree,standard,completed,80,78,81,239,79.67,Pass,Good
female,group D,some high school,standard,completed,61,74,72,207,69,Pass,Good
female,group E,master's degree,standard,Not Completed,62,68,68,198,66,Pass,Good
female,group B,associate's degree,standard,Not Completed,47,49,50,146,48.67,Pass,Average
male,group B,high school,free/reduced,Not Completed,49,45,45,139,46.33,Pass,Average
male,group A,some college,free/reduced,completed,50,47,54,151,50.33,Pass,Average
male,group E,associate's degree,standard,Not Completed,72,64,63,199,66.33,Pass,Good
male,group D,high school,free/reduced,Not Completed,42,39,34,115,38.33,Fail,Needs Improvement
female,group C,some college,standard,Not Completed,73,80,82,235,78.33,Pass,Good
female,group C,some college,free/reduced,Not Completed,76,83,88,247,82.33,Pass,Excellent
female,group D,associate's degree,standard,Not Completed,71,71,74,216,72,Pass,Good
female,group A,some college,standard,Not Completed,58,70,67,195,65,Pass,Good
female,group D,some high school,standard,Not Completed,73,86,82,241,80.33,Pass,Excellent
female,group C,bachelor's degree,standard,Not Completed,65,72,74,211,70.33,Pass,Good
male,group C,high school,free/reduced,Not Completed,27,34,36,97,32.33,Fail,Needs Improvement
male,group C,high school,standard,Not Completed,71,79,71,221,73.67,Pass,Good
male,group C,associate's degree,free/reduced,completed,43,45,50,138,46,Pass,Average
female,group B,some college,standard,Not Completed,79,86,92,257,85.67,Pass,Excellent
male,group C,associate's degree,free/reduced,completed,78,81,82,241,80.33,Pass,Excellent
male,group B,some high school,standard,completed,65,66,62,193,64.33,Pass,Good
female,group E,some college,standard,completed,63,72,70,205,68.33,Pass,Good
female,group D,some college,free/reduced,Not Completed,58,67,62,187,62.33,Pass,Good
female,group D,bachelor's degree,standard,Not Completed,65,67,62,194,64.67,Pass,Good
male,group B,some college,standard,Not Completed,79,67,67,213,71,Pass,Good
male,group D,bachelor's degree,standard,completed,68,74,74,216,72,Pass,Good
female,group D,associate's degree,standard,Not Completed,85,91,89,265,88.33,Pass,Excellent
male,group B,high school,standard,completed,60,44,47,151,50.33,Pass,Average
male,group C,some college,standard,completed,98,86,90,274,91.33,Pass,Excellent
female,group C,some college,standard,Not Completed,58,67,72,197,65.67,Pass,Good
female,group D,master's degree,standard,Not Completed,87,100,100,287,95.67,Pass,Excellent
male,group E,associate's degree,standard,completed,66,63,64,193,64.33,Pass,Good
female,group B,associate's degree,free/reduced,Not Completed,52,76,70,198,66,Pass,Good
female,group B,some high school,standard,Not Completed,70,64,72,206,68.67,Pass,Good
female,group D,associate's degree,free/reduced,completed,77,89,98,264,88,Pass,Excellent
male,group C,high school,standard,Not Completed,62,55,49,166,55.33,Pass,Average
male,group A,associate's degree,standard,Not Completed,54,53,47,154,51.33,Pass,Average
female,group D,some college,standard,Not Completed,51,58,54,163,54.33,Pass,Average
female,group E,bachelor's degree,standard,completed,99,100,100,299,99.67,Pass,Excellent
male,group C,high school,standard,Not Completed,84,77,74,235,78.33,Pass,Good
female,group B,bachelor's degree,free/reduced,Not Completed,75,85,82,242,80.67,Pass,Excellent
female,group D,bachelor's degree,standard,Not Completed,78,82,79,239,79.67,Pass,Good
female,group D,some high school,standard,Not Completed,51,63,61,175,58.33,Pass,Average
female,group C,some college,standard,Not Completed,55,69,65,189,63,Pass,Good
female,group C,bachelor's degree,standard,completed,79,92,89,260,86.67,Pass,Excellent
male,group B,associate's degree,standard,completed,91,89,92,272,90.67,Pass,Excellent
female,group C,some college,standard,completed,88,93,93,274,91.33,Pass,Excellent
male,group D,high school,free/reduced,Not Completed,63,57,56,176,58.67,Pass,Average
male,group E,some college,standard,Not Completed,83,80,73,236,78.67,Pass,Good
female,group B,high school,standard,Not Completed,87,95,86,268,89.33,Pass,Excellent
male,group B,some high school,standard,Not Completed,72,68,67,207,69,Pass,Good
male,group D,some college,standard,completed,65,77,74,216,72,Pass,Good
male,group D,master's degree,standard,Not Completed,82,82,74,238,79.33,Pass,Good
female,group A,bachelor's degree,standard,Not Completed,51,49,51,151,50.33,Pass,Average
male,group D,master's degree,standard,Not Completed,89,84,82,255,85,Pass,Excellent
male,group C,some high school,free/reduced,completed,53,37,40,130,43.33,Fail,Average
male,group E,some college,free/reduced,completed,87,74,70,231,77,Pass,Good
female,group C,some college,standard,completed,75,81,84,240,80,Pass,Excellent
male,group D,bachelor's degree,free/reduced,completed,74,79,75,228,76,Pass,Good
male,group C,bachelor's degree,standard,Not Completed,58,55,48,161,53.67,Pass,Average
male,group B,some high school,standard,completed,51,54,41,146,48.67,Pass,Average
male,group E,high school,standard,Not Completed,70,55,56,181,60.33,Pass,Good
female,group C,associate's degree,standard,Not Completed,59,66,67,192,64,Pass,Good
male,group D,some college,standard,completed,71,61,69,201,67,Pass,Good
female,group D,some high school,standard,Not Completed,76,72,71,219,73,Pass,Good
female,group C,some college,free/reduced,Not Completed,59,62,64,185,61.67,Pass,Good
female,group E,some college,free/reduced,completed,42,55,54,151,50.33,Pass,Average
male,group A,high school,standard,Not Completed,57,43,47,147,49,Pass,Average
male,group D,some college,standard,Not Completed,88,73,78,239,79.67,Pass,Good
female,group C,some college,free/reduced,Not Completed,22,39,33,94,31.33,Fail,Needs Improvement
male,group B,some high school,standard,Not Completed,88,84,75,247,82.33,Pass,Excellent
male,group C,associate's degree,free/reduced,Not Completed,73,68,66,207,69,Pass,Good
female,group D,bachelor's degree,standard,completed,68,75,81,224,74.67,Pass,Good
male,group E,associate's degree,free/reduced,completed,100,100,93,293,97.67,Pass,Excellent
male,group A,some high school,standard,completed,62,67,69,198,66,Pass,Good
male,group A,bachelor's degree,standard,Not Completed,77,67,68,212,70.67,Pass,Good
female,group B,associate's degree,standard,completed,59,70,66,195,65,Pass,Good
male,group D,bachelor's degree,standard,Not Completed,54,49,47,150,50,Pass,Average
male,group D,some high school,standard,Not Completed,62,67,61,190,63.33,Pass,Good
female,group C,some college,standard,completed,70,89,88,247,82.33,Pass,Excellent
female,group E,high school,free/reduced,completed,66,74,78,218,72.67,Pass,Good
male,group B,some college,free/reduced,Not Completed,60,60,60,180,60,Pass,Good
female,group B,associate's degree,standard,completed,61,86,87,234,78,Pass,Good
male,group D,associate's degree,free/reduced,Not Completed,66,62,64,192,64,Pass,Good
male,group B,associate's degree,free/reduced,completed,82,78,74,234,78,Pass,Good
female,group E,some college,free/reduced,completed,75,88,85,248,82.67,Pass,Excellent
male,group B,master's degree,free/reduced,Not Completed,49,53,52,154,51.33,Pass,Average
male,group C,high school,standard,Not Completed,52,53,49,154,51.33,Pass,Average
female,group E,master's degree,standard,Not Completed,81,92,91,264,88,Pass,Excellent
female,group C,bachelor's degree,standard,completed,96,100,100,296,98.67,Pass,Excellent
male,group C,high school,free/reduced,completed,53,51,51,155,51.67,Pass,Average
female,group B,master's degree,free/reduced,completed,58,76,78,212,70.67,Pass,Good
female,group B,high school,standard,completed,68,83,78,229,76.33,Pass,Good
female,group C,some college,free/reduced,completed,67,75,70,212,70.67,Pass,Good
male,group A,high school,standard,completed,72,73,74,219,73,Pass,Good
male,group E,some high school,standard,Not Completed,94,88,78,260,86.67,Pass,Excellent
female,group D,some college,standard,Not Completed,79,86,81,246,82,Pass,Excellent
female,group C,associate's degree,standard,Not Completed,63,67,70,200,66.67,Pass,Good
female,group C,bachelor's degree,free/reduced,completed,43,51,54,148,49.33,Pass,Average
female,group C,master's degree,standard,completed,81,91,87,259,86.33,Pass,Excellent
female,group B,high school,free/reduced,completed,46,54,58,158,52.67,Pass,Average
female,group C,associate's degree,standard,completed,71,77,77,225,75,Pass,Good
female,group B,master's degree,free/reduced,completed,52,70,62,184,61.33,Pass,Good
female,group D,some high school,standard,completed,97,100,100,297,99,Pass,Excellent
male,group C,master's degree,free/reduced,completed,62,68,75,205,68.33,Pass,Good
female,group C,some college,free/reduced,Not Completed,46,64,66,176,58.67,Pass,Average
female,group E,high school,standard,Not Completed,50,50,47,147,49,Pass,Average
female,group D,associate's degree,standard,Not Completed,65,69,70,204,68,Pass,Good
male,group C,some high school,free/reduced,completed,45,52,49,146,48.67,Pass,Average
male,group C,associate's degree,free/reduced,completed,65,67,65,197,65.67,Pass,Good
male,group E,high school,standard,Not Completed,80,76,65,221,73.67,Pass,Good
male,group D,some high school,standard,completed,62,66,68,196,65.33,Pass,Good
male,group B,some high school,free/reduced,Not Completed,48,52,45,145,48.33,Pass,Average
female,group C,bachelor's degree,standard,Not Completed,77,88,87,252,84,Pass,Excellent
female,group E,associate's degree,standard,Not Completed,66,65,69,200,66.67,Pass,Good
male,group D,some college,standard,completed,76,83,79,238,79.33,Pass,Good
female,group B,some high school,standard,Not Completed,62,64,66,192,64,Pass,Good
male,group D,some college,standard,completed,77,62,62,201,67,Pass,Good
female,group C,master's degree,standard,completed,69,84,85,238,79.33,Pass,Good
male,group D,associate's degree,standard,Not Completed,61,55,52,168,56,Pass,Average
male,group C,some high school,free/reduced,completed,59,69,65,193,64.33,Pass,Good
male,group E,high school,free/reduced,Not Completed,55,56,51,162,54,Pass,Average
female,group B,some college,free/reduced,Not Completed,45,53,55,153,51,Pass,Average
female,group B,bachelor's degree,free/reduced,Not Completed,78,79,76,233,77.67,Pass,Good
female,group C,associate's degree,standard,completed,67,84,86,237,79,Pass,Good
female,group D,some college,free/reduced,Not Completed,65,81,77,223,74.33,Pass,Good
male,group C,associate's degree,standard,Not Completed,69,77,69,215,71.67,Pass,Good
female,group B,associate's degree,standard,Not Completed,57,69,68,194,64.67,Pass,Good
male,group C,some college,standard,Not Completed,59,41,42,142,47.33,Pass,Average
male,group D,some high school,standard,completed,74,71,78,223,74.33,Pass,Good
male,group E,bachelor's degree,standard,Not Completed,82,62,62,206,68.67,Pass,Good
male,group E,high school,standard,completed,81,80,76,237,79,Pass,Good
female,group B,some college,free/reduced,Not Completed,74,81,76,231,77,Pass,Good
female,group B,some college,free/reduced,Not Completed,58,61,66,185,61.67,Pass,Good
male,group D,some high school,free/reduced,completed,80,79,79,238,79.33,Pass,Good
male,group C,some college,free/reduced,Not Completed,35,28,27,90,30,Fail,Needs Improvement
female,group C,high school,free/reduced,Not Completed,42,62,60,164,54.67,Pass,Average
male,group C,associate's degree,free/reduced,completed,60,51,56,167,55.67,Pass,Average
male,group E,high school,standard,completed,87,91,81,259,86.33,Pass,Excellent
male,group B,some high school,standard,completed,84,83,75,242,80.67,Pass,Excellent
female,group E,associate's degree,free/reduced,completed,83,86,88,257,85.67,Pass,Excellent
female,group C,high school,free/reduced,Not Completed,34,42,39,115,38.33,Fail,Needs Improvement
male,group B,high school,free/reduced,Not Completed,66,77,70,213,71,Pass,Good
male,group B,some high school,standard,completed,61,56,56,173,57.67,Pass,Average
female,group D,high school,standard,completed,56,68,74,198,66,Pass,Good
male,group B,associate's degree,standard,Not Completed,87,85,73,245,81.67,Pass,Excellent
female,group C,some high school,free/reduced,Not Completed,55,65,62,182,60.67,Pass,Good
male,group D,some high school,standard,Not Completed,86,80,75,241,80.33,Pass,Excellent
female,group B,associate's degree,standard,completed,52,66,73,191,63.67,Pass,Good
female,group E,master's degree,free/reduced,Not Completed,45,56,54,155,51.67,Pass,Average
female,group C,some college,standard,Not Completed,72,72,71,215,71.67,Pass,Good
male,group D,high school,standard,Not Completed,57,50,54,161,53.67,Pass,Average
male,group A,some high school,free/reduced,Not Completed,68,72,64,204,68,Pass,Good
female,group C,some college,standard,completed,88,95,94,277,92.33,Pass,Excellent
male,group D,some college,standard,Not Completed,76,64,66,206,68.67,Pass,Good
male,group C,associate's degree,standard,Not Completed,46,43,42,131,43.67,Pass,Average
female,group B,bachelor's degree,standard,Not Completed,67,86,83,236,78.67,Pass,Good
male,group E,some high school,standard,Not Completed,92,87,78,257,85.67,Pass,Excellent
male,group C,bachelor's degree,standard,completed,83,82,84,249,83,Pass,Excellent
male,group D,associate's degree,standard,Not Completed,80,75,77,232,77.33,Pass,Good
male,group D,bachelor's degree,free/reduced,Not Completed,63,66,67,196,65.33,Pass,Good
female,group D,some high school,standard,completed,64,60,74,198,66,Pass,Good
male,group B,some college,standard,Not Completed,54,52,51,157,52.33,Pass,Average
male,group C,associate's degree,standard,Not Completed,84,80,80,244,81.33,Pass,Excellent
male,group D,high school,free/reduced,completed,73,68,66,207,69,Pass,Good
female,group E,bachelor's degree,standard,Not Completed,80,83,83,246,82,Pass,Excellent
female,group D,high school,standard,Not Completed,56,52,55,163,54.33,Pass,Average
male,group E,some college,standard,Not Completed,59,51,43,153,51,Pass,Average
male,group D,some high school,standard,Not Completed,75,74,69,218,72.67,Pass,Good
male,group C,associate's degree,standard,Not Completed,85,76,71,232,77.33,Pass,Good
male,group E,associate's degree,standard,Not Completed,89,76,74,239,79.67,Pass,Good
female,group B,high school,standard,completed,58,70,68,196,65.33,Pass,Good
female,group B,high school,standard,Not Completed,65,64,62,191,63.67,Pass,Good
male,group C,high school,standard,Not Completed,68,60,53,181,60.33,Pass,Good
male,group A,some high school,standard,completed,47,49,49,145,48.33,Pass,Average
female,group D,some college,free/reduced,Not Completed,71,83,83,237,79,Pass,Good
female,group B,some high school,standard,completed,60,70,70,200,66.67,Pass,Good
male,group D,master's degree,standard,Not Completed,80,80,72,232,77.33,Pass,Good
male,group D,high school,standard,Not Completed,54,52,52,158,52.67,Pass,Average
female,group E,some college,standard,Not Completed,62,73,70,205,68.33,Pass,Good
female,group C,associate's degree,free/reduced,Not Completed,64,73,68,205,68.33,Pass,Good
male,group C,associate's degree,standard,completed,78,77,77,232,77.33,Pass,Good
female,group B,some college,standard,Not Completed,70,75,78,223,74.33,Pass,Good
female,group C,master's degree,free/reduced,completed,65,81,81,227,75.67,Pass,Good
female,group C,some high school,free/reduced,completed,64,79,77,220,73.33,Pass,Good
male,group C,some college,standard,completed,79,79,78,236,78.67,Pass,Good
female,group C,some high school,free/reduced,Not Completed,44,50,51,145,48.33,Pass,Average
female,group E,high school,standard,Not Completed,99,93,90,282,94,Pass,Excellent
male,group D,high school,standard,Not Completed,76,73,68,217,72.33,Pass,Good
male,group D,some high school,free/reduced,Not Completed,59,42,41,142,47.33,Pass,Average
female,group C,bachelor's degree,standard,Not Completed,63,75,81,219,73,Pass,Good
female,group D,high school,standard,Not Completed,69,72,77,218,72.67,Pass,Good
female,group D,associate's degree,standard,completed,88,92,95,275,91.67,Pass,Excellent
female,group E,some college,free/reduced,Not Completed,71,76,70,217,72.33,Pass,Good
male,group C,bachelor's degree,standard,Not Completed,69,63,61,193,64.33,Pass,Good
male,group C,some college,standard,Not Completed,58,49,42,149,49.67,Pass,Average
female,group D,associate's degree,free/reduced,Not Completed,47,53,58,158,52.67,Pass,Average
female,group D,some college,standard,Not Completed,65,70,71,206,68.67,Pass,Good
male,group B,some college,standard,completed,88,85,76,249,83,Pass,Excellent
male,group C,bachelor's degree,standard,Not Completed,83,78,73,234,78,Pass,Good
female,group C,some high school,standard,completed,85,92,93,270,90,Pass,Excellent
female,group E,high school,standard,completed,59,63,75,197,65.67,Pass,Good
female,group C,some high school,free/reduced,Not Completed,65,86,80,231,77,Pass,Good
male,group B,bachelor's degree,free/reduced,Not Completed,73,56,57,186,62,Pass,Good
male,group D,high school,standard,Not Completed,53,52,42,147,49,Pass,Average
male,group D,high school,standard,Not Completed,45,48,46,139,46.33,Pass,Average
female,group D,bachelor's degree,free/reduced,Not Completed,73,79,84,236,78.67,Pass,Good
female,group D,some college,free/reduced,completed,70,78,78,226,75.33,Pass,Good
female,group B,some high school,standard,Not Completed,37,46,46,129,43,Fail,Average
male,group B,associate's degree,standard,completed,81,82,82,245,81.67,Pass,Excellent
male,group E,associate's degree,standard,completed,97,82,88,267,89,Pass,Excellent
female,group B,some high school,standard,Not Completed,67,89,82,238,79.33,Pass,Good
male,group B,bachelor's degree,free/reduced,Not Completed,88,75,76,239,79.67,Pass,Good
male,group E,some high school,standard,completed,77,76,77,230,76.67,Pass,Good
male,group C,associate's degree,standard,Not Completed,76,70,68,214,71.33,Pass,Good
male,group D,some high school,standard,Not Completed,86,73,70,229,76.33,Pass,Good
male,group C,some high school,standard,completed,63,60,57,180,60,Pass,Good
female,group E,bachelor's degree,standard,Not Completed,65,73,75,213,71,Pass,Good
male,group D,high school,free/reduced,completed,78,77,80,235,78.33,Pass,Good
male,group B,associate's degree,free/reduced,Not Completed,67,62,60,189,63,Pass,Good
male,group A,some high school,standard,completed,46,41,43,130,43.33,Pass,Average
male,group E,associate's degree,standard,completed,71,74,68,213,71,Pass,Good
male,group C,high school,free/reduced,completed,40,46,50,136,45.33,Pass,Average
male,group D,associate's degree,free/reduced,Not Completed,90,87,75,252,84,Pass,Excellent
male,group A,some college,free/reduced,completed,81,78,81,240,80,Pass,Excellent
male,group D,some high school,free/reduced,Not Completed,56,54,52,162,54,Pass,Average
female,group C,associate's degree,standard,completed,67,84,81,232,77.33,Pass,Good
male,group B,associate's degree,standard,Not Completed,80,76,64,220,73.33,Pass,Good
female,group C,associate's degree,standard,completed,74,75,83,232,77.33,Pass,Good
male,group A,some college,standard,Not Completed,69,67,69,205,68.33,Pass,Good
male,group E,some college,standard,completed,99,87,81,267,89,Pass,Excellent
male,group C,some high school,standard,Not Completed,51,52,44,147,49,Pass,Average
female,group B,associate's degree,free/reduced,Not Completed,53,71,67,191,63.67,Pass,Good
female,group D,high school,free/reduced,Not Completed,49,57,52,158,52.67,Pass,Average
female,group B,associate's degree,standard,Not Completed,73,76,80,229,76.33,Pass,Good
male,group B,bachelor's degree,standard,Not Completed,66,60,57,183,61,Pass,Good
male,group D,bachelor's degree,standard,completed,67,61,68,196,65.33,Pass,Good
female,group C,associate's degree,free/reduced,completed,68,67,69,204,68,Pass,Good
female,group C,bachelor's degree,standard,completed,59,64,75,198,66,Pass,Good
male,group C,high school,standard,Not Completed,71,66,65,202,67.33,Pass,Good
female,group D,master's degree,standard,completed,77,82,91,250,83.33,Pass,Excellent
male,group C,associate's degree,standard,Not Completed,83,72,78,233,77.67,Pass,Good
male,group B,bachelor's degree,standard,Not Completed,63,71,69,203,67.67,Pass,Good
female,group D,associate's degree,free/reduced,Not Completed,56,65,63,184,61.33,Pass,Good
female,group C,high school,free/reduced,completed,67,79,84,230,76.67,Pass,Good
female,group E,high school,standard,Not Completed,75,86,79,240,80,Pass,Excellent
female,group C,some college,standard,Not Completed,71,81,80,232,77.33,Pass,Good
female,group C,some high school,free/reduced,Not Completed,43,53,53,149,49.67,Pass,Average
female,group C,high school,free/reduced,Not Completed,41,46,43,130,43.33,Pass,Average
female,group C,some college,standard,Not Completed,82,90,94,266,88.67,Pass,Excellent
male,group C,some college,standard,Not Completed,61,61,62,184,61.33,Pass,Good
male,group A,some college,free/reduced,Not Completed,28,23,19,70,23.33,Fail,Needs Improvement
male,group C,associate's degree,standard,completed,82,75,77,234,78,Pass,Good
female,group B,some high school,standard,Not Completed,41,55,51,147,49,Pass,Average
male,group C,high school,standard,Not Completed,71,60,61,192,64,Pass,Good
male,group C,associate's degree,standard,Not Completed,47,37,35,119,39.67,Fail,Needs Improvement
male,group E,associate's degree,standard,completed,62,56,53,171,57,Pass,Average
male,group B,associate's degree,standard,Not Completed,90,78,81,249,83,Pass,Excellent
female,group C,bachelor's degree,standard,Not Completed,83,93,95,271,90.33,Pass,Excellent
female,group B,some college,free/reduced,Not Completed,61,68,66,195,65,Pass,Good
male,group D,some high school,standard,completed,76,70,69,215,71.67,Pass,Good
male,group C,associate's degree,standard,Not Completed,49,51,43,143,47.67,Pass,Average
female,group B,some high school,free/reduced,Not Completed,24,38,27,89,29.67,Fail,Needs Improvement
female,group D,some high school,free/reduced,completed,35,55,60,150,50,Fail,Average
male,group C,high school,free/reduced,Not Completed,58,61,52,171,57,Pass,Average
female,group C,high school,standard,Not Completed,61,73,63,197,65.67,Pass,Good
female,group B,high school,standard,completed,69,76,74,219,73,Pass,Good
male,group D,associate's degree,standard,completed,67,72,67,206,68.67,Pass,Good
male,group D,some college,standard,Not Completed,79,73,67,219,73,Pass,Good
female,group C,high school,standard,Not Completed,72,80,75,227,75.67,Pass,Good
male,group B,some college,standard,Not Completed,62,61,57,180,60,Pass,Good
female,group C,bachelor's degree,standard,completed,77,94,95,266,88.67,Pass,Excellent
male,group D,high school,free/reduced,Not Completed,75,74,66,215,71.67,Pass,Good
male,group E,associate's degree,standard,Not Completed,87,74,76,237,79,Pass,Good
female,group B,bachelor's degree,standard,Not Completed,52,65,69,186,62,Pass,Good
male,group E,some college,standard,Not Completed,66,57,52,175,58.33,Pass,Average
female,group C,some college,standard,completed,63,78,80,221,73.67,Pass,Good
female,group C,associate's degree,standard,Not Completed,46,58,57,161,53.67,Pass,Average
female,group C,some college,standard,Not Completed,59,71,70,200,66.67,Pass,Good
female,group B,bachelor's degree,standard,Not Completed,61,72,70,203,67.67,Pass,Good
male,group A,associate's degree,standard,Not Completed,63,61,61,185,61.67,Pass,Good
female,group C,some college,free/reduced,completed,42,66,69,177,59,Pass,Average
male,group D,some college,free/reduced,Not Completed,59,62,61,182,60.67,Pass,Good
female,group D,some college,standard,Not Completed,80,90,89,259,86.33,Pass,Excellent
female,group B,high school,standard,Not Completed,58,62,59,179,59.67,Pass,Average
male,group B,some high school,standard,completed,85,84,78,247,82.33,Pass,Excellent
female,group C,some college,standard,Not Completed,52,58,58,168,56,Pass,Average
female,group D,some high school,free/reduced,Not Completed,27,34,32,93,31,Fail,Needs Improvement
male,group C,some college,standard,Not Completed,59,60,58,177,59,Pass,Average
male,group A,bachelor's degree,free/reduced,completed,49,58,60,167,55.67,Pass,Average
male,group C,high school,standard,completed,69,58,53,180,60,Pass,Good
male,group C,bachelor's degree,free/reduced,Not Completed,61,66,61,188,62.67,Pass,Good
female,group A,some high school,free/reduced,Not Completed,44,64,58,166,55.33,Pass,Average
